CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,326,1,77183.6,1,High-Value / Loyal
12347,2,7,4310.000000000001,1,High-Value / Loyal
12348,75,4,1797.24,1,High-Value / Loyal
12349,19,1,1757.5500000000002,0,Occasional / Low-Value
12350,310,1,334.40000000000003,0,Occasional / Low-Value
12352,36,8,2506.0400000000004,1,High-Value / Loyal
12353,204,1,89.0,0,Occasional / Low-Value
12354,232,1,1079.4,0,Occasional / Low-Value
12355,214,1,459.4,0,Occasional / Low-Value
12356,23,3,2811.43,1,High-Value / Loyal
12357,33,1,6207.67,1,High-Value / Loyal
12358,2,2,1168.06,1,High-Value / Loyal
12359,58,4,6372.58,1,High-Value / Loyal
12360,52,3,2662.06,1,High-Value / Loyal
12361,287,1,189.9,0,Occasional / Low-Value
12362,3,10,5226.23,1,High-Value / Loyal
12363,110,2,552.0,0,Occasional / Low-Value
12364,8,4,1313.1,1,High-Value / Loyal
12365,291,2,641.3799999999999,0,Occasional / Low-Value
12367,4,1,168.89999999999998,0,Occasional / Low-Value
12370,51,4,3545.69,1,High-Value / Loyal
12371,45,2,1887.96,0,Occasional / Low-Value
12372,72,3,1298.0400000000002,0,Occasional / Low-Value
12373,311,1,364.6,0,Occasional / Low-Value
12374,25,1,742.93,0,Occasional / Low-Value
12375,11,2,457.5,0,Occasional / Low-Value
12377,315,2,1628.12,0,Occasional / Low-Value
12378,130,1,4008.62,0,Occasional / Low-Value
12379,82,2,852.24,0,Occasional / Low-Value
12380,22,4,2724.8100000000004,1,High-Value / Loyal
12381,5,5,1845.3100000000004,1,High-Value / Loyal
12383,185,5,1850.56,1,High-Value / Loyal
12384,29,2,585.2700000000001,0,Occasional / Low-Value
12386,338,2,401.9,0,Occasional / Low-Value
12388,16,6,2780.6600000000003,1,High-Value / Loyal
12390,80,1,549.84,0,Occasional / Low-Value
12391,22,1,460.89,0,Occasional / Low-Value
12393,72,4,1582.6,1,High-Value / Loyal
12394,64,2,1272.48,0,Occasional / Low-Value
12395,19,12,3018.63,1,High-Value / Loyal
12397,36,2,2409.9000000000005,1,High-Value / Loyal
12398,46,1,1635.66,0,Occasional / Low-Value
12399,119,4,1108.65,0,Occasional / Low-Value
12401,303,1,84.3,0,Occasional / Low-Value
12402,323,1,225.6,0,Occasional / Low-Value
12403,50,1,427.7,0,Occasional / Low-Value
12405,149,1,1710.3900000000003,0,Occasional / Low-Value
12406,22,2,3415.3,1,High-Value / Loyal
12407,50,5,1708.1199999999997,1,High-Value / Loyal
12408,33,5,2888.55,1,High-Value / Loyal
12409,79,3,11072.67,1,High-Value / Loyal
12410,309,2,693.3299999999999,0,Occasional / Low-Value
12412,75,3,1226.88,0,Occasional / Low-Value
12413,67,3,758.1,0,Occasional / Low-Value
12414,217,3,562.41,0,Occasional / Low-Value
12415,24,21,124914.53,1,High-Value / Loyal
12417,3,9,3649.1,1,High-Value / Loyal
12418,113,1,668.58,0,Occasional / Low-Value
12420,64,1,600.3900000000001,0,Occasional / Low-Value
12421,16,4,807.0400000000001,1,High-Value / Loyal
12422,96,3,803.5599999999998,0,Occasional / Low-Value
12423,1,8,1859.31,1,High-Value / Loyal
12424,163,2,1760.9599999999996,0,Occasional / Low-Value
12425,78,1,777.1999999999999,0,Occasional / Low-Value
12426,195,1,582.73,0,Occasional / Low-Value
12427,22,3,825.8,1,High-Value / Loyal
12428,26,9,7956.46,1,High-Value / Loyal
12429,9,4,3750.4,1,High-Value / Loyal
12430,43,1,256.4,0,Occasional / Low-Value
12431,36,15,6487.45,1,High-Value / Loyal
12432,43,5,5059.319999999999,1,High-Value / Loyal
12433,1,7,13375.87,1,High-Value / Loyal
12434,85,2,806.14,0,Occasional / Low-Value
12435,80,2,7829.890000000001,1,High-Value / Loyal
12436,100,1,509.0100000000001,0,Occasional / Low-Value
12437,2,18,4951.41,1,High-Value / Loyal
12438,14,2,2906.8500000000004,1,High-Value / Loyal
12441,367,1,173.55,0,Occasional / Low-Value
12442,3,1,172.06,0,Occasional / Low-Value
12444,21,5,5005.46,1,High-Value / Loyal
12445,22,1,133.4,0,Occasional / Low-Value
12446,58,1,1002.31,0,Occasional / Low-Value
12447,243,1,476.49,0,Occasional / Low-Value
12448,44,1,449.4500000000001,0,Occasional / Low-Value
12449,22,4,4067.29,1,High-Value / Loyal
12450,156,2,197.88,0,Occasional / Low-Value
12451,11,5,9035.52,1,High-Value / Loyal
12452,17,2,430.57,0,Occasional / Low-Value
12453,134,1,707.0899999999999,0,Occasional / Low-Value
12454,56,1,3528.34,0,Occasional / Low-Value
12455,73,6,2466.86,1,High-Value / Loyal
12456,44,3,3181.04,1,High-Value / Loyal
12457,66,7,2363.23,1,High-Value / Loyal
12458,71,2,947.4,0,Occasional / Low-Value
12461,94,2,826.88,0,Occasional / Low-Value
12462,19,2,1189.59,1,High-Value / Loyal
12463,53,4,1344.7800000000002,1,High-Value / Loyal
12464,10,8,1212.05,1,High-Value / Loyal
12465,17,2,742.19,0,Occasional / Low-Value
12468,188,2,729.54,0,Occasional / Low-Value
12471,2,30,19824.05,1,High-Value / Loyal
12472,32,7,6572.110000000001,1,High-Value / Loyal
12473,29,5,3938.55,1,High-Value / Loyal
12474,17,18,7375.79,1,High-Value / Loyal
12475,54,1,723.3799999999999,0,Occasional / Low-Value
12476,16,11,6816.42,1,High-Value / Loyal
12477,23,6,13219.740000000002,1,High-Value / Loyal
12478,4,1,680.9900000000001,0,Occasional / Low-Value
12479,11,1,527.2,0,Occasional / Low-Value
12480,28,4,3281.63,1,High-Value / Loyal
12481,23,10,5596.32,1,High-Value / Loyal
12483,17,8,2484.98,1,High-Value / Loyal
12484,33,6,4541.719999999999,1,High-Value / Loyal
12488,10,3,1298.6600000000003,1,High-Value / Loyal
12489,336,1,334.92999999999995,0,Occasional / Low-Value
12490,5,10,5417.93,1,High-Value / Loyal
12491,39,1,460.4,0,Occasional / Low-Value
12492,63,2,263.21,0,Occasional / Low-Value
12493,166,2,433.74,0,Occasional / Low-Value
12494,16,7,1246.1,1,High-Value / Loyal
12497,82,1,1043.1,0,Occasional / Low-Value
12498,21,3,403.7,0,Occasional / Low-Value
12500,23,11,4257.820000000001,1,High-Value / Loyal
12501,337,1,2169.3900000000003,0,Occasional / Low-Value
12502,96,5,3723.87,1,High-Value / Loyal
12504,18,2,482.05,0,Occasional / Low-Value
12506,233,1,73.50000000000001,0,Occasional / Low-Value
12507,134,3,1304.81,0,Occasional / Low-Value
12508,26,2,398.27,0,Occasional / Low-Value
12509,284,1,176.5,0,Occasional / Low-Value
12510,143,2,982.57,0,Occasional / Low-Value
12512,66,2,138.03,0,Occasional / Low-Value
12513,113,1,612.2900000000001,0,Occasional / Low-Value
12514,267,1,1017.68,0,Occasional / Low-Value
12515,353,1,383.7000000000001,0,Occasional / Low-Value
12516,78,2,1312.06,0,Occasional / Low-Value
12517,28,5,2502.84,1,High-Value / Loyal
12518,1,5,2056.89,1,High-Value / Loyal
12519,64,1,340.84000000000003,0,Occasional / Low-Value
12520,79,5,2634.26,1,High-Value / Loyal
12521,143,1,599.68,0,Occasional / Low-Value
12522,39,2,192.72000000000003,0,Occasional / Low-Value
12523,19,11,1789.77,1,High-Value / Loyal
12524,9,8,4485.719999999999,1,High-Value / Loyal
12526,1,3,1316.6600000000003,1,High-Value / Loyal
12527,82,3,348.71000000000004,0,Occasional / Low-Value
12528,9,6,1933.48,1,High-Value / Loyal
12530,60,4,1662.28,1,High-Value / Loyal
12531,15,1,125.22,0,Occasional / Low-Value
12532,30,1,349.83000000000004,0,Occasional / Low-Value
12534,131,1,1089.18,0,Occasional / Low-Value
12535,92,2,716.35,0,Occasional / Low-Value
12536,43,3,12601.830000000002,1,High-Value / Loyal
12538,29,1,363.95,0,Occasional / Low-Value
12539,22,4,5568.349999999999,1,High-Value / Loyal
12540,20,17,13400.24,1,High-Value / Loyal
12541,30,3,981.1800000000002,1,High-Value / Loyal
12544,36,1,372.7000000000001,0,Occasional / Low-Value
12545,75,2,1000.39,0,Occasional / Low-Value
12546,47,2,1161.5,0,Occasional / Low-Value
12547,198,2,207.8,0,Occasional / Low-Value
12548,166,1,95.2,0,Occasional / Low-Value
12550,79,1,964.83,0,Occasional / Low-Value
12551,358,1,168.0,0,Occasional / Low-Value
12552,39,2,437.82,0,Occasional / Low-Value
12553,8,10,3692.28,1,High-Value / Loyal
12556,50,2,603.7099999999999,0,Occasional / Low-Value
12557,16,5,11990.96,1,High-Value / Loyal
12558,8,1,269.96000000000004,0,Occasional / Low-Value
12559,311,2,561.7099999999999,0,Occasional / Low-Value
12560,5,3,2134.01,1,High-Value / Loyal
12561,303,1,238.85,0,Occasional / Low-Value
12562,8,7,3781.74,1,High-Value / Loyal
12564,261,1,456.9,0,Occasional / Low-Value
12565,289,1,145.92000000000002,0,Occasional / Low-Value
12566,86,1,351.65,0,Occasional / Low-Value
12567,23,10,9401.28,1,High-Value / Loyal
12569,2,32,4124.6900000000005,1,High-Value / Loyal
12571,40,2,519.61,0,Occasional / Low-Value
12572,9,2,1020.42,1,High-Value / Loyal
12573,227,1,160.54,0,Occasional / Low-Value
12574,316,1,218.45,0,Occasional / Low-Value
12576,36,5,1315.83,1,High-Value / Loyal
12577,35,3,657.8,0,Occasional / Low-Value
12578,21,2,2794.51,1,High-Value / Loyal
12579,78,1,440.42,0,Occasional / Low-Value
12580,247,1,415.7000000000001,0,Occasional / Low-Value
12581,40,1,197.71,0,Occasional / Low-Value
12582,239,2,511.3599999999999,0,Occasional / Low-Value
12583,3,15,7281.379999999999,1,High-Value / Loyal
12584,4,9,2338.1500000000005,1,High-Value / Loyal
12585,234,2,2040.1,0,Occasional / Low-Value
12586,17,1,196.94000000000003,0,Occasional / Low-Value
12587,8,1,144.0,0,Occasional / Low-Value
12588,39,1,214.9,0,Occasional / Low-Value
12589,29,2,646.6800000000001,0,Occasional / Low-Value
12590,211,2,9864.26,1,High-Value / Loyal
12591,317,1,452.85,0,Occasional / Low-Value
12592,92,2,437.6,0,Occasional / Low-Value
12593,109,3,418.0999999999999,0,Occasional / Low-Value
12594,38,10,3338.2200000000003,1,High-Value / Loyal
12596,51,2,618.27,0,Occasional / Low-Value
12597,19,4,3811.2199999999993,1,High-Value / Loyal
12598,10,8,3023.08,1,High-Value / Loyal
12599,29,7,1032.5800000000004,1,High-Value / Loyal
12600,29,10,2599.04,1,High-Value / Loyal
12601,190,5,577.0600000000001,0,Occasional / Low-Value
12602,59,1,153.12,0,Occasional / Low-Value
12603,22,1,739.1999999999999,0,Occasional / Low-Value
12604,79,2,254.18,0,Occasional / Low-Value
12607,60,1,1579.51,0,Occasional / Low-Value
12609,78,3,1126.85,0,Occasional / Low-Value
12610,23,5,2099.54,1,High-Value / Loyal
12611,52,1,1193.32,0,Occasional / Low-Value
12612,74,1,704.04,0,Occasional / Low-Value
12613,57,5,3344.38,1,High-Value / Loyal
12614,278,1,315.6,0,Occasional / Low-Value
12615,2,4,2291.19,1,High-Value / Loyal
12616,95,2,713.3,0,Occasional / Low-Value
12617,29,1,355.53000000000003,0,Occasional / Low-Value
12618,22,1,177.31,0,Occasional / Low-Value
12619,16,9,3641.24,1,High-Value / Loyal
12620,15,3,1339.41,1,High-Value / Loyal
12621,2,20,13689.67,1,High-Value / Loyal
12622,232,1,180.09999999999997,0,Occasional / Low-Value
12623,276,1,305.1,0,Occasional / Low-Value
12624,106,2,641.13,0,Occasional / Low-Value
12625,212,2,2683.82,0,Occasional / Low-Value
12626,23,9,6620.48,1,High-Value / Loyal
12627,11,7,4478.530000000001,1,High-Value / Loyal
12628,4,3,786.4599999999999,1,High-Value / Loyal
12630,10,2,1270.88,1,High-Value / Loyal
12631,57,1,640.5,0,Occasional / Low-Value
12633,59,4,2163.98,1,High-Value / Loyal
12635,90,2,1689.1800000000003,0,Occasional / Low-Value
12637,67,8,6021.9,1,High-Value / Loyal
12638,33,1,671.69,0,Occasional / Low-Value
12639,239,1,486.1,0,Occasional / Low-Value
12640,24,3,1174.58,1,High-Value / Loyal
12641,115,1,185.9,0,Occasional / Low-Value
12642,25,3,1013.26,1,High-Value / Loyal
12643,128,6,3344.6399999999994,1,High-Value / Loyal
12644,130,1,477.91,0,Occasional / Low-Value
12645,34,4,1775.1800000000003,1,High-Value / Loyal
12646,5,2,1346.97,1,High-Value / Loyal
12647,22,12,3722.82,1,High-Value / Loyal
12648,155,1,318.04999999999995,0,Occasional / Low-Value
12649,107,3,623.51,0,Occasional / Low-Value
12650,3,1,314.44,0,Occasional / Low-Value
12651,335,1,114.0,0,Occasional / Low-Value
12652,331,1,919.98,0,Occasional / Low-Value
12653,149,2,2209.85,0,Occasional / Low-Value
12654,11,5,601.9799999999999,1,High-Value / Loyal
12656,17,5,4051.17,1,High-Value / Loyal
12657,11,4,1643.18,1,High-Value / Loyal
12658,19,1,686.05,0,Occasional / Low-Value
12659,30,1,91.68,0,Occasional / Low-Value
12660,11,1,245.1,0,Occasional / Low-Value
12662,1,11,3849.78,1,High-Value / Loyal
12664,8,9,4881.88,1,High-Value / Loyal
12665,325,1,63.0,0,Occasional / Low-Value
12667,58,1,620.1300000000001,0,Occasional / Low-Value
12668,12,4,3807.15,1,High-Value / Loyal
12669,151,3,2744.03,0,Occasional / Low-Value
12670,10,5,2996.0500000000006,1,High-Value / Loyal
12672,330,1,225.9,0,Occasional / Low-Value
12673,5,2,610.52,1,High-Value / Loyal
12674,39,4,1970.6,1,High-Value / Loyal
12676,25,6,1331.39,1,High-Value / Loyal
12678,42,12,17628.46,1,High-Value / Loyal
12679,59,4,1113.02,1,High-Value / Loyal
12680,1,4,862.8100000000002,1,High-Value / Loyal
12681,15,22,13787.54,1,High-Value / Loyal
12682,4,31,12288.22,1,High-Value / Loyal
12683,4,15,8476.57,1,High-Value / Loyal
12684,8,7,2283.63,1,High-Value / Loyal
12685,28,6,2863.08,1,High-Value / Loyal
12686,372,1,89.14,0,Occasional / Low-Value
12688,114,1,4873.81,0,Occasional / Low-Value
12689,26,2,1247.61,0,Occasional / Low-Value
12690,206,1,389.01,0,Occasional / Low-Value
12691,28,6,1035.8,1,High-Value / Loyal
12693,127,4,855.91,0,Occasional / Low-Value
12694,70,2,869.67,0,Occasional / Low-Value
12695,7,4,582.1,1,High-Value / Loyal
12697,29,3,957.59,1,High-Value / Loyal
12700,8,4,4939.99,1,High-Value / Loyal
12701,80,2,797.71,0,Occasional / Low-Value
12702,20,1,219.0,0,Occasional / Low-Value
12703,71,1,283.55,0,Occasional / Low-Value
12704,7,8,2340.84,1,High-Value / Loyal
12705,15,9,6868.290000000001,1,High-Value / Loyal
12707,292,1,603.42,0,Occasional / Low-Value
12708,30,10,2712.91,1,High-Value / Loyal
12709,15,15,9736.52,1,High-Value / Loyal
12710,97,3,1149.0200000000002,0,Occasional / Low-Value
12712,29,13,4396.13,1,High-Value / Loyal
12713,1,1,848.5500000000001,1,High-Value / Loyal
12714,9,5,4708.860000000001,1,High-Value / Loyal
12715,106,1,353.86,0,Occasional / Low-Value
12716,4,2,1053.4900000000002,1,High-Value / Loyal
12717,151,2,1030.98,0,Occasional / Low-Value
12718,71,1,238.25,0,Occasional / Low-Value
12719,5,2,644.95,1,High-Value / Loyal
12720,3,25,5781.730000000001,1,High-Value / Loyal
12721,32,6,2656.13,1,High-Value / Loyal
12722,85,4,997.63,0,Occasional / Low-Value
12723,4,5,725.07,1,High-Value / Loyal
12724,5,4,1031.41,1,High-Value / Loyal
12725,371,1,427.8,0,Occasional / Low-Value
12726,28,7,2609.1,1,High-Value / Loyal
12727,11,7,3980.7,1,High-Value / Loyal
12728,71,4,836.3299999999999,0,Occasional / Low-Value
12729,114,1,453.0100000000001,0,Occasional / Low-Value
12731,24,12,18895.91,1,High-Value / Loyal
12732,180,1,236.26000000000005,0,Occasional / Low-Value
12733,234,1,383.9500000000001,0,Occasional / Low-Value
12734,353,1,110.4,0,Occasional / Low-Value
12735,315,2,779.57,0,Occasional / Low-Value
12736,333,1,234.00000000000003,0,Occasional / Low-Value
12738,372,1,155.35,0,Occasional / Low-Value
12739,78,2,1013.04,0,Occasional / Low-Value
12740,64,1,427.6,0,Occasional / Low-Value
12743,134,2,546.4300000000001,0,Occasional / Low-Value
12744,52,7,21279.29,1,High-Value / Loyal
12747,2,11,4196.009999999999,1,High-Value / Loyal
12748,1,209,33719.73,1,High-Value / Loyal
12749,4,5,4090.88,1,High-Value / Loyal
12750,129,1,275.88,0,Occasional / Low-Value
12752,81,1,4366.780000000001,0,Occasional / Low-Value
12753,23,6,21429.39,1,High-Value / Loyal
12754,236,3,3010.74,0,Occasional / Low-Value
12755,281,2,3811.95,0,Occasional / Low-Value
12756,87,1,112.08,0,Occasional / Low-Value
12757,16,13,7857.1,1,High-Value / Loyal
12758,117,2,2791.59,0,Occasional / Low-Value
12759,52,3,1531.4400000000005,1,High-Value / Loyal
12762,8,2,1898.5200000000004,1,High-Value / Loyal
12763,138,2,494.08,0,Occasional / Low-Value
12764,317,1,1693.88,0,Occasional / Low-Value
12766,4,7,6989.63,1,High-Value / Loyal
12769,239,1,1143.6,0,Occasional / Low-Value
12770,211,1,1351.4499999999998,0,Occasional / Low-Value
12772,60,1,892.4700000000001,0,Occasional / Low-Value
12775,17,5,1386.0400000000002,1,High-Value / Loyal
12778,20,6,822.23,1,High-Value / Loyal
12779,38,8,3981.36,1,High-Value / Loyal
12781,64,2,826.74,0,Occasional / Low-Value
12782,5,5,2330.9200000000005,1,High-Value / Loyal
12783,2,6,2225.91,1,High-Value / Loyal
12784,9,2,574.4200000000001,0,Occasional / Low-Value
12785,364,1,311.95,0,Occasional / Low-Value
12787,10,3,463.66,1,High-Value / Loyal
12789,65,1,91.85,0,Occasional / Low-Value
12790,192,1,324.9200000000001,0,Occasional / Low-Value
12791,374,1,192.6,0,Occasional / Low-Value
12792,257,1,400.54,0,Occasional / Low-Value
12793,335,2,545.48,0,Occasional / Low-Value
12794,53,2,860.41,0,Occasional / Low-Value
12795,19,1,430.48,0,Occasional / Low-Value
12797,366,1,254.03,0,Occasional / Low-Value
12798,10,3,6977.04,1,High-Value / Loyal
12802,187,1,427.58,0,Occasional / Low-Value
12808,37,3,483.65,0,Occasional / Low-Value
12809,178,1,489.31,0,Occasional / Low-Value
12811,261,3,514.8499999999999,0,Occasional / Low-Value
12812,45,1,229.64,0,Occasional / Low-Value
12814,102,1,125.92,0,Occasional / Low-Value
12815,148,2,1063.46,0,Occasional / Low-Value
12816,96,2,572.2,0,Occasional / Low-Value
12817,281,1,166.04,0,Occasional / Low-Value
12818,262,1,1542.08,0,Occasional / Low-Value
12820,3,4,942.34,1,High-Value / Loyal
12821,214,1,92.72,0,Occasional / Low-Value
12822,71,2,948.8800000000002,0,Occasional / Low-Value
12823,75,5,1759.5,1,High-Value / Loyal
12824,60,1,397.12,0,Occasional / Low-Value
12826,3,7,1474.72,1,High-Value / Loyal
12827,6,3,430.15,1,High-Value / Loyal
12828,3,6,1018.71,1,High-Value / Loyal
12829,337,2,293.0,0,Occasional / Low-Value
